Agg(open=23, high=23.49, low=23, close=23.49, volume=3206, vwap=23.3346, timestamp=1692000000000, transactions=23, otc=None)
Agg(open=22.48, high=22.51, low=21.11, close=22.08, volume=21428, vwap=21.7231, timestamp=1692356400000, transactions=144, otc=None)
Agg(open=22.4, high=22.4, low=21.05, close=22.01, volume=20509, vwap=21.8472, timestamp=1692360000000, transactions=135, otc=None)
Agg(open=22, high=22.6164, low=21.92, close=22.44, volume=194818, vwap=22.3019, timestamp=1692363600000, transactions=1341, otc=None)
Agg(open=22.48, high=22.82, low=22.4787, close=22.79, volume=268979, vwap=22.6609, timestamp=1692367200000, transactions=2185, otc=None)
Agg(open=22.8, high=23, low=22.71, close=22.78, volume=119186, vwap=22.8664, timestamp=1692370800000, transactions=1011, otc=None)
Agg(open=22.75, high=22.87, low=22.674, close=22.674, volume=33718, vwap=22.7806, timestamp=1692374400000, transactions=487, otc=None)
Agg(open=22.6393, high=22.74, low=22.53, close=22.66, volume=30233, vwap=22.6338, timestamp=1692378000000, transactions=445, otc=None)
Agg(open=22.66, high=22.66, low=22.46, close=22.47, volume=40733, vwap=22.5505, timestamp=1692381600000, transactions=794, otc=None)
Agg(open=22.4751, high=22.4751, low=22.18, close=22.3, volume=220345, vwap=22.2705, timestamp=1692385200000, transactions=3141, otc=None)
Agg(open=22.27, high=23, low=22.01, close=22.01, volume=21865, vwap=22.2678, timestamp=1692388800000, transactions=19, otc=None)
Agg(open=22.31, high=22.5, low=22.31, close=22.5, volume=300, vwap=22.4367, timestamp=1692392400000, transactions=2, otc=None)
Agg(open=22.5, high=22.5, low=22.5, close=22.5, volume=400, vwap=22.5, timestamp=1692396000000, transactions=1, otc=None)
Agg(open=22.0501, high=22.7, low=22.0501, close=22.7, volume=414, vwap=22.431, timestamp=1692399600000, transactions=5, otc=None)
