Agg(open=6.0108, high=6.06, low=6, close=6.01, volume=130226, vwap=6.0204, timestamp=1694779200000, transactions=1060, otc=None)
Agg(open=6.01, high=6.12, low=5.96, close=5.9706, volume=4710666.0, vwap=6.0368, timestamp=1694782800000, transactions=8905, otc=None)
Agg(open=5.98, high=6.01, low=5.89, close=5.9, volume=2912103.0, vwap=5.9571, timestamp=1694786400000, transactions=12934, otc=None)
Agg(open=5.9, high=5.97, low=5.89, close=5.935, volume=2062530.0, vwap=5.9384, timestamp=1694790000000, transactions=7165, otc=None)
Agg(open=5.935, high=5.98, low=5.93, close=5.955, volume=1173006.0, vwap=5.9579, timestamp=1694793600000, transactions=6150, otc=None)
Agg(open=5.95, high=5.97, low=5.88, close=5.915, volume=1581269.0, vwap=5.9189, timestamp=1694797200000, transactions=7006, otc=None)
Agg(open=5.91, high=5.9171, low=5.88, close=5.885, volume=1783212.0, vwap=5.8983, timestamp=1694800800000, transactions=6625, otc=None)
Agg(open=5.88, high=5.92, low=5.86, close=5.91, volume=5146283.0, vwap=5.8944, timestamp=1694804400000, transactions=14044, otc=None)
Agg(open=5.92, high=5.95, low=5.9, close=5.91, volume=3707611.0, vwap=5.9198, timestamp=1694808000000, transactions=405, otc=None)
Agg(open=5.92, high=5.92, low=5.9, close=5.9, volume=28423, vwap=5.9109, timestamp=1694811600000, transactions=171, otc=None)
Agg(open=5.91, high=5.91, low=5.89, close=5.9, volume=42432, vwap=5.9006, timestamp=1694815200000, transactions=136, otc=None)
Agg(open=5.9, high=5.93, low=5.9, close=5.9291, volume=17139, vwap=5.9108, timestamp=1694818800000, transactions=90, otc=None)
